,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
47541,PG52838,Creation of the Teton Landscape: The Geologic Story of Grand Teton National Park,"Reed, John C. (John Calvin)",1836.0,1910.0,['en'],34,{'Geology -- Wyoming -- Grand Teton National Park'},
47542,PG52839,Texas Rocks and Minerals: An Amateur's Guide,"Girard, Roselle M.",1918.0,,['en'],513,"{'Petrology', 'Petrology -- Texas', 'Mineralogy -- Texas'}",
47545,PG52841,Index to Library Reports,"Moody, Katharine Twining",1867.0,1950.0,['en'],13,"{'Indexes', 'Library science -- Bibliography', 'Libraries -- United States -- Bibliography', 'Libraries -- Canada -- Bibliography'}",
47546,PG52842,Japonette,"Chambers, Robert W. (Robert William)",1865.0,1933.0,['en'],37,"{'New York (N.Y.) -- Social life and customs -- Fiction', 'Man-woman relationships -- Fiction', 'Young men -- Fiction'}",
47550,PG52846,Old Friends at Cambridge and Elsewhere,"Clark, John Willis",1833.0,1910.0,['en'],6,{'University of Cambridge -- History'},
47552,PG52848,"Space Nomads: Meteorites in Sky, Field, and Laboratory","LaPaz, Jean",,,['en'],27,{'Meteorites'},
47555,PG52850,Barbers' Manual (Part 1); Text Book on Taxidermy (Part 2),"McConnaughay, T. J.",,,['en'],14,"{'Barbering', 'Taxidermy'}",
47558,PG52853,Sketches of St. Augustine: With a view of its history and advantages as a resort for invalids,"Sewall, Rufus King",1814.0,1903.0,['en'],10,"{'Saint Augustine (Fla.) -- Description and travel', 'Saint Augustine (Fla.) -- History'}",
47559,PG52854,Knights in Armour,"Woods, Edward S. (Edward Sydney)",1877.0,1953.0,['en'],7,"{'Christian life', 'Soldiers -- Religious life'}",
47563,PG52858,"The Cholera Gazette, Vol. I. No. 4. Wednesday, August 1st, 1832.",Various,,,['en'],1,{'Cholera -- Periodicals'},
47564,PG52859,"The Cholera Gazette, Vol. I. No. 5. Wednesday, August 8th, 1832.",Various,,,['en'],8,{'Cholera -- Periodicals'},
47566,PG52860,"Our Story Book: Jingles, Stories and Rhymes for Little Folks",Various,,,['en'],15,"{""Children's poetry"", ""Children's stories""}",
47568,PG52862,"Biographical Anecdotes of William Hogarth, With a Catalogue of His Works","Nichols, John",1745.0,1826.0,['en'],47,"{'Hogarth, William, 1697-1764'}",
47570,PG52864,Bessbrook and Its Linen Mills: A Short Narrative of a Model Temperance Town,"Ritchie, J. Ewing (James Ewing)",1820.0,1898.0,['en'],38,"{'Linen industry -- Northern Ireland -- Bessbrook', 'Bessbrook (Northern Ireland)', 'Temperance'}",
47571,PG52865,Home Poems,"Wheeler, Kate Louise",,,['en'],59,"{'American poetry -- 19th century', 'Christian poetry'}",
47572,PG52866,"Eclectic Magazine of Foreign Literature, Science, and Art, January 1885",Various,,,['en'],13,"{'American literature -- Periodicals', 'Literature -- Periodicals'}",
47573,PG52867,Experiments on the Spoilage of Tomato Ketchup,"Bitting, A. W. (Arvill Wayne)",1870.0,1946.0,['en'],25,{'Ketchup'},
47574,PG52868,Japanese Homes and Their Surroundings,"Morse, Edward Sylvester",1838.0,1925.0,['en'],306,"{'Interior decoration -- Japan', 'Architecture, Domestic -- Japan', 'Japan -- Social life and customs'}",
47575,PG52869,On the Connexion of the Physical Sciences,"Somerville, Mary",1780.0,1872.0,['en'],55,"{'Physical sciences', 'Science'}",
47579,PG52872,Harry Harding's Year of Promise,"Raymond, Alfred",,,['en'],21,"{'Boys -- Juvenile fiction', 'Department stores -- Juvenile fiction', 'Conduct of life -- Juvenile fiction'}",
47581,PG52874,"The Cleveland Medical Gazette, Vol. 1, No. 3, January 1886",Various,,,['en'],12,"{'Medicine -- Periodicals', 'Surgery -- Periodicals'}",
47582,PG52875,Red Paint at Oxford: Sketches,Pish,,,['en'],9,{'University of Oxford -- Fiction'},
47584,PG52877,Subsidiary Notes as to the Introduction of Female Nursing into Military Hospitals in Peace and War,"Nightingale, Florence",1820.0,1910.0,['en'],21,"{'Nurses -- Great Britain', 'Military hospitals -- Great Britain'}",
47585,PG52878,"The Writings of Thomas Jefferson, Vol. 3 (of 9): Being His Autobiography, Correspondence, Reports, Messages, Addresses, and Other Writings, Official and Private","Jefferson, Thomas",1743.0,1826.0,['en'],21,"{'United States -- Politics and government -- 1775-1783', 'United States -- Politics and government -- 1783-1865'}",
47589,PG52881,"The Joyful Wisdom (""La Gaya Scienza"")","Nietzsche, Friedrich Wilhelm",1844.0,1900.0,['en'],864,{'Philosophy'},
47590,PG52882,The poems of Heine; Complete: Translated into the original metres; with a sketch of his life,"Heine, Heinrich",1797.0,1856.0,['en'],217,"{'German poetry -- Translations into English', 'Heine, Heinrich, 1797-1856 -- Translations into English'}",
47593,PG52885,"Scenes in North Wales: With Historical Illustrations, Legends, and Biographical Notices","Wright, G. N. (George Newenham)",,1877.0,['en'],10,"{'Wales, North -- Description and travel'}",
47594,PG52886,My Year of the Great War,"Palmer, Frederick",1873.0,1958.0,['en'],15,"{'World War, 1914-1918 -- Personal narratives'}",
47596,PG52888,What Every Girl Should Know,"Sanger, Margaret",1879.0,1966.0,['en'],58,"{'Sex instruction', 'Women social reformers -- United States -- Biography'}",
47607,PG52898,"The Magic House, and Other Poems","Scott, Duncan Campbell",1862.0,1947.0,['en'],26,{'Canadian poetry -- 19th century'},
47608,PG52899,The Wonderful Stories of Fuz-Buz the Fly and Mother Grabem the Spider,"Mitchell, S. Weir (Silas Weir)",1829.0,1914.0,['en'],10,"{'Giants -- Juvenile fiction', 'Adventure stories', ""Children's stories"", 'Fairy tales', 'Kings and rulers -- Juvenile fiction'}",
47611,PG52900,Little Men: Life at Plumfield with Jo's Boys,"Alcott, Louisa May",1832.0,1888.0,['en'],59,"{'New England -- History -- 19th century -- Fiction', 'Boarding schools -- Fiction', 'Family life -- New England -- Fiction', 'Schools -- Fiction'}",
47615,PG52904,"Ventures Into Verse: Being various ballads, ballades, rondeaux, triolets, songs, quatrains, odes and roundels, all rescued from the potters' field of old files and here given decent burial","Mencken, H. L. (Henry Louis)",1880.0,1956.0,['en'],17,{'American poetry'},
47616,PG52905,Little Jack Rabbit and Danny Fox,"Cory, David",1872.0,1966.0,['en'],6,"{'Rabbits -- Juvenile fiction', 'Animals -- Juvenile fiction', 'Foxes -- Juvenile fiction'}",
47617,PG52906,"Grave-mounds and Their Contents: A Manual of Archæology, as Exemplified in the Burials of the Celtic, the Romano-British, and the Anglo-Saxon Periods","Jewitt, Llewellynn Frederick William",1816.0,1886.0,['en'],16,"{'Megalithic monuments -- Great Britain', 'Great Britain -- Antiquities', 'Mounds -- Great Britain'}",
47618,PG52907,"The Wonderful Garden; or, The Three Cs","Nesbit, E. (Edith)",1858.0,1924.0,['en'],72,"{'Uncles -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Books and reading -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Flowers -- Juvenile fiction', 'Magic -- Juvenile fiction', 'Runaway children -- Juvenile fiction'}",
47619,PG52908,Clever Betsy: A Novel,"Burnham, Clara Louise",1854.0,1927.0,['en'],29,"{'Ship captains -- Fiction', 'Love stories', 'Household employees -- Fiction', 'Middle-aged persons -- Fiction'}",
47620,PG52909,"The Pansy Magazine, November 1887",Various,,,['en'],25,"{'American literature -- 19th century -- Periodicals', 'Sunday schools -- United States -- Periodicals'}",
47622,PG52910,Pansy's Sunday Book,,,,['en'],19,"{""Children's poetry"", 'Children -- Conduct of life -- Juvenile literature', 'Conduct of life -- Juvenile literature', ""Children's stories""}",
47626,PG52914,The Will to Power: An Attempted Transvaluation of All Values. Book I and II,"Nietzsche, Friedrich Wilhelm",1844.0,1900.0,['en'],719,"{'Values', 'Power (Philosophy)', 'Nihilism (Philosophy)'}",
47627,PG52915,The Will to Power: An Attempted Transvaluation of All Values. Book III and IV,"Nietzsche, Friedrich Wilhelm",1844.0,1900.0,['en'],578,"{'Values', 'Power (Philosophy)', 'Nihilism (Philosophy)'}",
47629,PG52917,A Bible History of Baptism,"Baird, Samuel J. (Samuel John)",1817.0,1893.0,['en'],59,{'Baptism -- Biblical teaching'},
47633,PG52920,The Crimson Conquest: A Romance of Pizarro and Peru,"Hudson, Charles B. (Charles Bradford)",1865.0,1939.0,['en'],38,"{'Peru -- History -- Conquest, 1522-1548 -- Fiction'}",
47634,PG52921,"Science for the School and Family, Part I. Natural Philosophy","Hooker, Worthington",1806.0,1867.0,['en'],9,"{'Science', 'Physics'}",
47636,PG52923,Memoir and Correspondence of Caroline Herschel,"Herschel, John, Mrs.",,1876.0,['en'],57,"{'Herschel, Caroline Lucretia, 1750-1848'}",
47638,PG52925,The Cultivation and Manufacture of Tea,"Money, Edward",,,['en'],29,{'Tea'},
47641,PG52928,The Poetry of South Africa,,,,['en'],18,{'South African poetry (English)'},
47644,PG52930,Names: and Their Meaning; A Book for the Curious,"Wagner, Leopold",1858.0,,['en'],89,{'Names'},
47645,PG52931,"Pulp and Paper Magazine, Vol. XIII, No. 20, October 15, 1916: A Semi-Monthly Magazine Devoted to the Science and Practice of the Pulp and Paper Manufacturing Industry with an Up-to-date Review of Conditions in the Allied Trades.",Various,,,['en'],8,"{'Wood-pulp industry -- Periodicals', 'Paper industry -- Periodicals'}",
47646,PG52932,The Book: Its History and Development,"Davenport, Cyril",1848.0,1941.0,['en'],33,"{'Printing -- History', 'Books -- History', 'Bookbinding', 'Books'}",
47649,PG52935,Mr. Blake's Walking-Stick: A Christmas Story for Boys and Girls,"Eggleston, Edward",1837.0,1902.0,['en'],9,"{'Christmas -- Juvenile fiction', 'Girls -- Juvenile fiction', 'Christian life -- Juvenile fiction', 'Boys -- Juvenile fiction', 'Clergy -- Juvenile fiction'}",
47651,PG52937,"Russian Prisons: St. Peter and St. Paul; the Schlüsselburg; the Ostrog at Omsk; the story of Siberian exile; Tiumen, Tomsk, Saghalien","Griffiths, Arthur",1838.0,1908.0,['en'],28,"{'Exiles -- Russia (Federation) -- Siberia -- History', 'Prisons -- Russia -- History'}",
47652,PG52938,"The Life and Adventures of Guzman D'Alfarache, or the Spanish Rogue, vol. 2/3","Alemán, Mateo",1547.0,,['en'],11,"{'Picaresque fiction', 'Spanish fiction -- Classical period, 1500-1700'}",
47653,PG52939,"Life of John Knox, Fifth Edition, Vol. 1 of 2: Containing Illustrations of the History of the Reformation in Scotland","M'Crie, Thomas",1772.0,1835.0,['en'],40,"{'Knox, John, approximately 1514-1572'}",
47655,PG52940,"Life of John Knox, Fifth Edition, Vol. 2 of 2: Containing Illustrations of the History of the Reformation in Scotland","M'Crie, Thomas",1772.0,1835.0,['en'],29,"{'Knox, John, approximately 1514-1572'}",
47656,PG52941,"Amadis of Gaul, Vol. 3","Lobeira, Vasco de",,1403.0,['en'],16,"{'Knights and knighthood -- Fiction', 'Romances, Spanish -- Translations into English', 'Chivalry -- Fiction'}",
47659,PG52944,Prisons & Prisoners: Some Personal Experiences,"Lytton, Constance, Lady",1869.0,1923.0,['en'],45,"{'Suffragists -- Great Britain -- Biography', 'Women political prisoners -- Great Britain -- Biography', 'Lytton, Constance, Lady, 1869-1923'}",
47662,PG52947,"Dolæus upon the cure of the gout by milk-diet: To which is prefixed, an essay upon diet","Stephens, William",,1760.0,['en'],8,"{'Milk -- Diet therapy -- Early works to 1800', 'Gout -- Treatment -- Early works to 1800'}",
47667,PG52951,Rhymes of the Rockies,"Whilt, James W.",,,['en'],34,{'Rocky Mountains -- Poetry'},
47679,PG52962,Hugh Gwyeth: A Roundhead Cavalier,"Dix, Beulah Marie",1876.0,1970.0,['en'],14,"{'Great Britain -- History -- Civil War, 1642-1649 -- Fiction'}",
47680,PG52963,"Cuchulain, the Hound of Ulster","Hull, Eleanor",1860.0,1935.0,['en'],72,"{'Tales -- Ulster (Northern Ireland and Ireland)', 'Heroes -- Ulster (Northern Ireland and Ireland) -- Legends', 'Clive, Mrs. (Catherine) 1711-1785', 'Cuchulain (Legendary character)'}",
47681,PG52964,Patty's Motor Car,"Wells, Carolyn",1862.0,1942.0,['en'],20,"{'Automobiles -- Juvenile fiction', 'Young women -- Social life and customs -- Juvenile fiction', 'Riddles -- Juvenile fiction', 'Prize contests in advertising -- Juvenile fiction', 'Family -- Juvenile fiction'}",
47682,PG52965,Brazil and the River Plate in 1868,"Hadfield, William",1806.0,1887.0,['en'],13,"{'Brazil -- Description and travel', 'Argentina -- Economic conditions', 'Railroads -- Brazil', 'Brazil -- Economic conditions', 'Argentina -- Description and travel'}",
47684,PG52967,"The Hospital Bulletin, Vol. V, No. 3, May 15, 1909",Various,,,['en'],7,"{'Medicine -- Periodicals', 'Medical colleges -- Alumni and alumnae -- Maryland -- Baltimore -- Periodicals'}",
47685,PG52968,Readings from Modern Mexican Authors,,,,['en'],15,"{'Mexican prose literature', 'Mexican literature -- Translations into English'}",
47689,PG52971,The Indians of Carlsbad Caverns National Park,"Williams, Jack R.",,,['en'],58,"{'Indians of North America -- Southwest, New', 'Carlsbad Caverns National Park (N.M.)'}",
47690,PG52972,Letters from Muskoka,"King, Charles Gerrard, Mrs.",1810.0,1885.0,['en'],8,"{'Muskoka (Ont. : District)', 'Frontier and pioneer life -- Canada', 'Pioneers -- Ontario -- Biography'}",
47691,PG52973,"Geology and Revelation: or, the Ancient History of the Earth, considered in the geological facts and revealed religion.","Molloy, Gerald",1834.0,1906.0,['en'],13,"{'Bible and geology', 'Bible and science'}",
47692,PG52974,The British Army from Within,"Vivian, Evelyn Charles",1882.0,1947.0,['en'],12,{'Great Britain. Army'},
47694,PG52976,"The Great Lakes: The Vessels That Plough Them: Their Owners, Their Sailors, and Their Cargoes, Together with a Brief History of Our Inland Seas","Curwood, James Oliver",1878.0,1927.0,['en'],39,"{'Inland navigation -- United States', 'Great Lakes (North America)', 'Shipping -- Great Lakes (North America)'}",
47695,PG52977,"The Alumni Journal of the College of Pharmacy of the City of New York, Vol. II, No. 2, February, 1895",Various,,,['en'],13,"{'Pharmacology -- Periodicals', 'College of Pharmacy of the City of New York -- Alumni and alumnae -- Periodicals'}",
47699,PG52980,The Philosophy of Art,"Taine, Hippolyte",1828.0,1893.0,['en'],58,{'Aesthetics'},
47702,PG52983,"The Cleveland Medical Gazette, Vol. 1, No. 4, February 1886",Various,,,['en'],8,"{'Medicine -- Periodicals', 'Surgery -- Periodicals'}",
47706,PG52987,Treatise on the Anatomy and Physiology of the Mucous Membranes: With Illustrative Pathological Observations,"Bichat, Xavier",1771.0,1802.0,['en'],10,{'Membranes (Biology)'},
47707,PG52988,The White Wampum,"Johnson, E. Pauline",1861.0,1913.0,['en'],26,"{'Indians of North America -- Canada -- Poetry', 'Canadian poetry -- Indian authors'}",
47712,PG52992,Food and Morals: 6th Edition,"Clymer, J. F. (John F.)",,,['en'],4,"{'Food', 'Sermons, American -- 19th century'}",
47713,PG52993,A Collection of Chirurgical Tracts,"Beckett, William",1684.0,1738.0,['en'],13,{'Surgery'},
47716,PG52996,Selected Articles on the Parcels Post,,,,['en'],1,{'Parcel post -- United States'},
47717,PG52997,Frijoles: A Hidden Valley in the New World,"Hendron, J. W. (Jerome William)",1912.0,,['en'],14,"{'Frijoles Canyon (N.M.)', 'Cliff-dwellers -- New Mexico'}",
47718,PG52998,"The Works of Richard Hurd, Volume 1 (of 8)","Hurd, Richard",1720.0,1808.0,['en'],39,"{'Poetry -- History and criticism', 'Church of England -- Sermons', 'Romances -- History and criticism', 'Great Britain -- Civilization -- 17th century', 'Dialogues, English'}",
47723,PG53000,"France and England in North America, Part IV: The Old Régime In Canada","Parkman, Francis",1823.0,1893.0,['en'],52,{'Canada -- History -- To 1763 (New France)'},
47724,PG53001,The Magic of Spain,"Bell, Aubrey F. G. (Aubrey Fitz Gerald)",1882.0,1950.0,['en'],18,"{'Spain -- Description and travel', 'Spanish literature -- History and criticism'}",
47727,PG53004,"Studies on Homer and the Homeric Age, Vol. 3 of 3: I. Agorè: Polities of the Homeric Age. II. Ilios: Trojans and Greeks Compared. III. Thalassa: The Outer Geography. IV. Aoidos: Some Points of the Poetry of Homer.","Gladstone, W. E. (William Ewart)",1809.0,1898.0,['en'],34,"{'Epic poetry, Greek -- History and criticism', 'Civilization, Homeric', 'Homer'}",
47729,PG53006,The Romance of Gilbert Holmes: An Historical Novel,"Kirkman, Marshall M. (Marshall Monroe)",1842.0,1921.0,['en'],8,"{'Black Hawk War, 1832 -- Fiction'}",
47730,PG53007,Observations on the Diseases of Seamen,"Blane, Gilbert, Sir",1749.0,1834.0,['en'],26,"{'Medicine, Naval -- Early Works To 1800', 'Sailors -- Diseases'}",
47732,PG53009,Patience Sparhawk and Her Times: A Novel,"Atherton, Gertrude Franklin Horn",1857.0,1948.0,['en'],19,{'American fiction -- 19th century'},
47733,PG5300,Tales and Novels of J. de La Fontaine — Complete,"La Fontaine, Jean de",1621.0,1695.0,['en'],710,"{'Fables, French -- Translations into English', 'French poetry -- Translations into English'}",
47734,PG53010,The Last Abbot of Glastonbury: A Tale of the Dissolution of the Monasteries,"Crake, A. D. (Augustine David)",1836.0,1890.0,['en'],15,"{'Glastonbury Abbey -- Fiction', 'Whiting, Richard, -1539 -- Fiction'}",
47735,PG53011,The Mentor: A little book for the guidance of such men and boys as would appear to advantage in the society of persons of the better sort,"Ayres, Alfred",1825.0,1902.0,['en'],15,{'Etiquette'},
47738,PG53014,"Twice-born Men in America: or, The Psychology of Conversion as Seen by a Christian Psychologist in Rescue Mission Work","Monroe, Harriet Earhart",1842.0,1927.0,['en'],7,"{'Psychology, Religious', 'Conversion -- Christianity', 'Conversion -- Psychology', 'Evangelistic work', 'Institutional missions'}",
47742,PG53018,Men and Things,"Atkinson, Henry A.",1877.0,1960.0,['en'],15,"{'Labor movement -- United States', 'Christian sociology', 'Working class -- United States', 'Labor -- United States'}",
47743,PG53019,History of the United States,"Ridpath, John Clark",1840.0,1900.0,['en'],16,{'United States -- History'},
47744,PG5301,The Imperialist,"Duncan, Sara Jeannette",1861.0,1922.0,['en'],30,"{'Domestic fiction', 'Ontario -- Fiction', 'Imperialism -- Fiction', 'Autobiographical fiction', 'Political fiction'}",
47746,PG53021,Torquemada and the Spanish Inquisition: A History,"Sabatini, Rafael",1875.0,1950.0,['en'],115,"{'Inquisition -- Spain', 'Torquemada, Tomás, de, 1420-1498'}",
47747,PG53022,First Steps to Bell Ringing: Being an Introduction to the Healthful and Pleasant Exercise of Bell Ringing in Rounds and Changes upon Church Bells,"Goslin, Samuel B.",,,['en'],13,{'Change ringing'},
47748,PG53023,"The History of the Assassins, Derived from Oriental Sources","Hammer-Purgstall, Joseph, Freiherr von",1774.0,1856.0,['en'],20,{'Assassins (Ismailites)'},
47751,PG53026,Smithson's Theory of Special Creation,"Smithson, Noble",1841.0,1918.0,['en'],5,{'Creation'},
47752,PG53027,"A Treatise on Tobacco, Tea, Coffee, and Chocolate","Paulli, Simon",1603.0,1680.0,['en'],42,"{'Chocolate -- Early works to 1800', 'Tea -- Early works to 1800', 'Tobacco -- Early works to 1800', 'Coffee -- Early works to 1800'}",
47756,PG53030,Lilliput Lyrics,"Rands, W. B. (William Brighty )",1823.0,1882.0,['en'],19,"{""Children's poetry"", 'Nonsense verses', 'Wit and humor, Juvenile'}",
47757,PG53031,The Barton Experiment,"Habberton, John",1842.0,1921.0,['en'],16,"{'Reformers -- Fiction', 'Conduct of life -- Fiction', 'Evangelistic work -- Fiction', 'Christian life -- Fiction', 'Alcoholism -- Fiction'}",
47758,PG53032,William—An Englishman,"Hamilton, Cicely",1872.0,1952.0,['en'],12,"{'World War, 1914-1918 -- Fiction'}",
47759,PG53033,The Turquoise Story Book: Stories and Legends of Summer and Nature,,,,['en'],31,"{'Nature -- Juvenile literature', 'Summer -- Juvenile literature'}",
47762,PG53036,"His Honour, and a Lady","Duncan, Sara Jeannette",1861.0,1922.0,['en'],10,"{'British -- India -- Fiction', 'India -- History -- British occupation, 1765-1947 -- Fiction'}",
47764,PG53038,"Language: Its Nature, Development and Origin","Jespersen, Otto",1860.0,1943.0,['en'],191,{'Language and languages'},
47765,PG53039,"The World's Earliest Music: Traced to Its Beginnings in Ancient Lands by Collected Evidence of Relics, Records, History, and Musical Instruments from Greece, Etruria, Egypt, China, Through Asyria and Babylonia, to the Primitive Home, the Land of Akkad and Sumer","Smith, Hermann",1824.0,1910.0,['en'],43,{'Music -- To 500 -- History and criticism'},
47767,PG53040,The Art of Living,"Grant, Robert",1852.0,1940.0,['en'],42,"{'Life skills', 'Home economics', 'Quality of life'}",
47768,PG53041,Numantia,"Cervantes Saavedra, Miguel de",1547.0,1616.0,['en'],58,{'Numantia (Extinct city) -- Drama'},
47769,PG53042,A Hitch in Space,"Leiber, Fritz",1910.0,1992.0,['en'],29,"{'Science fiction', 'Psychological fiction', 'Space flight -- Fiction', 'Short stories'}",
47770,PG53043,"Extracts from the Diary of William C. Lobenstine, December 31, 1851-1858","Lobenstine, William C. (William Christian)",1831.0,1918.0,['en'],9,{'Overland journeys to the Pacific'},
47780,PG53052,Our Benevolent Feudalism,"Ghent, William J. (William James)",1866.0,1942.0,['en'],19,"{'United States -- Social conditions -- 1865-1918', 'Trusts, Industrial', 'United States -- Economic conditions -- 1865-1918', 'Working class -- United States'}",
47781,PG53053,"By the Aurelian Wall, and Other Elegies","Carman, Bliss",1861.0,1929.0,['en'],5,{'Canadian poetry -- 19th century'},
47785,PG53057,Furniture of the Olden Time,"Morse, Frances Clary",,,['en'],30,{'Furniture'},
47786,PG53058,"The American Missionary — Volume 32, No. 01, January, 1878",Various,,,['en'],5,"{'Congregational churches -- Missions -- Periodicals', 'Home missions -- Periodicals'}",
47793,PG53064,Die Casting: Dies—Machines—Methods,"Lucas, Chester L.",,,['en'],18,{'Dies (Metal-working)'},
47794,PG53065,"The American Missionary — Volume 32, No. 02, February, 1878",Various,,,['en'],5,"{'Congregational churches -- Missions -- Periodicals', 'Home missions -- Periodicals'}",
47796,PG53067,Color Cement Handicraft,"Lemos, Pedro J. (Pedro Joseph)",1882.0,1954.0,['en'],12,{'Cement'},
47802,PG53072,Poems,"Cook, Clarence",1828.0,1900.0,['en'],12,{'American poetry'},
47803,PG53073,God's Country: The Trail to Happiness,"Curwood, James Oliver",1878.0,1927.0,['en'],13,"{'Essays', 'Nature', 'Happiness', 'Faith'}",
47804,PG53074,Professor Johnny,J. Ā. K.,,,['en'],17,"{'Natural history -- Juvenile fiction', 'Scientific recreations -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Physical sciences -- Juvenile fiction', 'Play -- Juvenile fiction'}",
47805,PG53075,Songs of the Glens of Antrim,"O'Neill, Moira",1864.0,1955.0,['en'],25,{'Antrim (Northern Ireland : County) -- Poetry'},
47808,PG53078,"The American Missionary — Volume 32, No. 04, April 1878",Various,,,['en'],4,"{'Congregational churches -- Missions -- Periodicals', 'Home missions -- Periodicals'}",
47812,PG53081,"The Life and Adventures of Guzman D'Alfarache, or the Spanish Rogue, vol. 3/3","Alemán, Mateo",1547.0,,['en'],17,"{'Picaresque fiction', 'Spanish fiction -- Classical period, 1500-1700'}",
47814,PG53083,"The Antiquities of Constantinople: With a Description of Its Situation, the Conveniencies of Its Port, Its Publick Buildings, the Statuary, Sculpture, Architecture, and Other Curiosities of That City","Gilles, Pierre",1490.0,1555.0,['en'],23,"{'Istanbul (Turkey) -- Antiquities', 'Turkey -- Antiquities', 'Istanbul (Turkey) -- Description and travel'}",
47817,PG53086,The Inventor. Introducing the Wishing Box. A Christmas Play,"Yale, Elsie Duncan",1873.0,1956.0,['en'],6,{'Christmas plays'},
47818,PG53087,Songs at the Start,"Guiney, Louise Imogen",1861.0,1920.0,['en'],3,{'American poetry -- 19th century'},
47819,PG53088,Landseer's Dogs and Their Stories,"Tytler, Sarah",1827.0,1914.0,['en'],22,{'Dogs -- Juvenile fiction'},
47821,PG5308,The Paradise Mystery,"Fletcher, J. S. (Joseph Smith)",1863.0,1935.0,['en'],61,{'Detective and mystery stories'},
47824,PG53092,"The Ancient Bronze Implements, Weapons, and Ornaments, of Great Britain and Ireland.","Evans, John",1823.0,1908.0,['en'],41,"{'Great Britain -- Antiquities', 'Bronze age -- Ireland', 'Bronze age -- Great Britain'}",
47827,PG53095,Digging for Gold: A Story of California,"Alger, Horatio, Jr.",1832.0,1899.0,['en'],31,"{'Youth -- Conduct of life -- Juvenile fiction', 'Diligence -- Juvenile fiction', 'Gold mines and mining -- Juvenile fiction', 'Poor -- Juvenile fiction', 'California -- History -- 19th century -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Miners -- Juvenile fiction', 'Farmers -- Juvenile fiction', 'Success -- Juvenile fiction', 'Business enterprises -- Juvenile fiction', 'Conduct of life -- Juvenile fiction'}",
47829,PG53097,The Murder of Delicia,"Corelli, Marie",1855.0,1924.0,['en'],20,"{'Detective and mystery stories', 'English fiction -- 19th century'}",
47830,PG53098,"The Mary Frances Garden Book; or, Adventures Among the Garden People","Fryer, Jane Eayre",1876.0,,['en'],29,"{'Gardening -- Juvenile literature', 'Mary Frances (Fictitious character) -- Juvenile fiction', 'Gardening'}",
47831,PG53099,Willow Pollen,"Marks, Jeannette Augustus",1875.0,1964.0,['en'],6,{'American poetry -- 20th century'},
47833,PG530,"Driven from Home; Or, Carl Crawford's Experience","Alger, Horatio, Jr.",1832.0,1899.0,['en'],34,"{'Runaway teenagers -- Juvenile fiction', 'New York (N.Y.) -- Juvenile fiction', 'Didactic fiction', 'Conduct of life -- Juvenile fiction'}",
47837,PG53103,Æsop's Fables,Aesop,,,['en'],215,"{'Fables', ""Aesop's fables -- Adaptations"", 'Fables, Greek -- Adaptations'}",
47838,PG53104,Popular Sayings from Old Iberia,,,,['en'],15,"{'Proverbs, Spanish'}",
47839,PG53105,London Signs and Inscriptions,"Norman, Philip",1842.0,1931.0,['en'],16,"{'London (England) -- Antiquities', 'Inscriptions -- England -- London', 'Signs and signboards'}",
47843,PG53109,The Witch,"Johnston, Mary",1870.0,1936.0,['en'],20,"{'Great Britain -- History -- James I, 1603-1625 -- Fiction', 'Witchcraft -- Fiction'}",
47847,PG53112,"Half-hours with the Highwaymen - Vol 2: Picturesque Biographies and Traditions of the ""Knights of the Road""","Harper, Charles G. (Charles George)",1863.0,1943.0,['en'],25,"{'Great Britain -- Social life and customs', 'Crime -- Great Britain', 'Criminals -- Great Britain', 'Roads -- Great Britain', 'Brigands and robbers'}",
47848,PG53113,"Myths and Tales from the White Mountain Apache: Anthropological Papers of the American Museum of Natural History Vol. XXIV, Part II","Goddard, Pliny Earle",1869.0,1928.0,['en'],37,{'Western Apache Indians -- Folklore'},
47850,PG53115,The History of Tammany Hall: Second Edition,"Myers, Gustavus",1872.0,1942.0,['en'],24,"{'Tammany Hall (Political organization)', 'New York (N.Y.) -- Politics and government'}",
47851,PG53116,Right Guard Grant,"Barbour, Ralph Henry",1870.0,1944.0,['en'],23,"{'Schools -- Juvenile fiction', 'Football -- Juvenile fiction'}",
47852,PG53117,Motion Picture Directing: The Facts and Theories of the Newest Art,"Milne, Peter",1896.0,1968.0,['en'],21,{'Motion pictures -- Production and direction'},
47856,PG53120,When All the Woods Are Green: A Novel,"Mitchell, S. Weir (Silas Weir)",1829.0,1914.0,['en'],15,{'American fiction -- 19th century'},
47857,PG53121,Love: A Treatise on the Science of Sex-attraction: for the use of Physicians and Students of Medical Jurisprudence,"Talmey, Bernard Simon",1862.0,1926.0,['en'],50,{'Sex'},
47858,PG53122,The Story of the American Merchant Marine,"Spears, John Randolph",1850.0,1936.0,['en'],24,{'Merchant marine -- United States'},
47860,PG53124,"The War of Women, Volume 1","Dumas, Alexandre",1802.0,1870.0,['en'],31,"{'France -- History -- Louis XIV, 1643-1715 -- Fiction', 'Fronde -- Fiction'}",
