,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
27542,PG34834,A Text-Book of Astronomy,"Comstock, George C. (George Cary)",1855.0,1934.0,['en'],75,{'Astronomy'},
27549,PG34840,"The Palace of Pleasure, Volume 3",,,,['en'],67,"{'French fiction -- Translations into English', 'Italian fiction -- Translations into English'}",
27553,PG34844,Collection of Nebraska Pioneer Reminiscences,Daughters of the American Revolution. Nebraska,,,['en'],79,"{'Frontier and pioneer life -- Nebraska', 'Nebraska -- History'}",
27563,PG34853,The Fairy-Faith in Celtic Countries,"Evans-Wentz, W. Y. (Walter Yeeling)",1878.0,1965.0,['en'],449,"{'Celts -- Folklore', 'Fairies', 'Mythology, Celtic', 'Celts -- Religion'}",
27569,PG34859,The Origin of Finger-Printing,"Herschel, William James",1833.0,1917.0,['en'],35,{'Fingerprints'},
27595,PG34882,Barrington. Volume 1 (of 2),"Lever, Charles James",1806.0,1872.0,['en'],10,"{'Ireland -- Fiction', 'Aristocracy (Social class) -- Fiction', 'Inheritance and succession -- Fiction'}",
27596,PG34883,Barrington. Volume 2 (of 2),"Lever, Charles James",1806.0,1872.0,['en'],13,"{'Ireland -- Fiction', 'Aristocracy (Social class) -- Fiction', 'Inheritance and succession -- Fiction'}",
27597,PG34884,"Tales of the Trains: Being Some Chapters of Railroad Romance by Tilbury Tramp, Queen's Messenger","Lever, Charles James",1806.0,1872.0,['en'],22,"{'Short stories', 'Railroad stories', 'Fiction'}",
27601,PG34888,Romain Rolland: The Man and His Work,"Zweig, Stefan",1881.0,1942.0,['en'],106,"{'Rolland, Romain, 1866-1944'}",
27615,PG348,"Hesiod, the Homeric Hymns, and Homerica",Hesiod,,,['en'],741,"{'Hymns, Greek (Classical) -- Translations into English', 'Epic poetry, Greek -- Translations into English', 'Hesiod -- Translations into English', 'Gods, Greek -- Poetry', 'Epic poetry, Greek'}",
27620,PG34904,"Works of Martin Luther, with Introductions and Notes (Volume II)","Luther, Martin",1483.0,1546.0,['en'],77,"{'Theology -- History -- 16th century -- Early works to 1800', 'Lutheran Church -- Early works to 1800'}",
27626,PG3490,The Admirable Crichton,"Barrie, J. M. (James Matthew)",1860.0,1937.0,['en'],172,"{'Manners and customs -- Drama', 'Shipwrecks -- Drama'}",
27637,PG3491,Missy,"Gatlin, Dana",1884.0,1940.0,['en'],47,{'Girls -- Fiction'},
27648,PG3492,Homespun Tales,"Wiggin, Kate Douglas Smith",1856.0,1923.0,['en'],16,"{'Short stories, American'}",
27656,PG34937,Tieck's Essay on the Boydell Shakspere Gallery,"Danton, George H. (George Henry)",1880.0,,['en'],104,"{'Tieck, Ludwig, 1773-1853', 'Boydell, John, 1720-1804', 'Shakespeare, William, 1564-1616 -- Illustrations'}",
27671,PG34950,Rowing,"Lehmann, R. C. (Rudolf Chambers)",1856.0,1929.0,['en'],45,{'Rowing'},
27701,PG34978,Burning Sands,"Weigall, Arthur E. P. Brome (Arthur Edward Pearse Brome)",1880.0,1934.0,['en'],19,"{'British -- Egypt -- Fiction', 'Love stories'}",
27705,PG34981,Orthodox Daily Prayers,Anonymous,,,['en'],94,"{'Prayers', 'Orthodox Eastern Church -- Prayers and devotions', 'Orthodox Eastern Church -- Liturgy -- Texts'}",
27708,PG34984,A Guide for the Study of Animals,"Smallwood, Mabel Elizabeth",,,['en'],69,{'Zoology -- Laboratory manuals'},
27713,PG34989,"An Examination of the Testimony of the Four Evangelists, by the Rules of Evidence Administered in Courts of Justice: With an Account of the Trial of Jesus","Greenleaf, Simon",1783.0,1853.0,['en'],234,"{'Apologetics', 'Bible. Gospels -- Evidences, authority, etc.', 'Authority -- Religious aspects', 'Jesus Christ -- Trial'}",
27715,PG34990,Canoeing in the wilderness,"Thoreau, Henry David",1817.0,1862.0,['en'],120,"{'Canoes and canoeing', 'Maine -- Description and travel', 'Piscataquis County (Me.) -- Description and travel'}",
27725,PG3499,Jo's Boys,"Alcott, Louisa May",1832.0,1888.0,['en'],353,"{'Boarding schools -- Fiction', 'New England -- Fiction', 'Family life -- New England -- Fiction', 'Schools -- Fiction'}",
27726,PG349,The Harvester,"Stratton-Porter, Gene",1863.0,1924.0,['en'],170,"{'Didactic fiction', 'Herbalists -- Fiction', 'Indiana -- Fiction'}",
27762,PG35031,The Land of Frozen Suns: A Novel,"Sinclair, Bertrand W.",1881.0,1972.0,['en'],21,"{'Fur trade -- Fiction', 'Kidnapping -- Fiction', 'Adventure stories', 'Canada -- Fiction', 'Inheritance and succession -- Fiction'}",
27765,PG35034,Lost Farm Camp,"Knibbs, Henry Herbert",1874.0,1945.0,['en'],16,"{'Fathers and daughters -- Fiction', 'Logging -- Fiction', 'Maine -- Fiction'}",
27776,PG35044,"The Boys of the Wireless; Or, A Stirring Rescue from the Deep","Webster, Frank V.",,,['en'],24,"{'Telegraph, Wireless -- Juvenile fiction', 'Mystery and detective stories', 'Kidnapping -- Juvenile fiction', 'Rescues -- Juvenile fiction'}",
27813,PG35078,The Mesa Trail,"Bedford-Jones, H. (Henry)",1887.0,1949.0,['en'],22,"{'Western stories', 'Fiction'}",
27814,PG35079,The Rustle of Silk,"Hamilton, Cosmo",,1942.0,['en'],28,{'Fiction'},
27816,PG35080,A Hero of Ticonderoga,"Robinson, Rowland Evans",1833.0,1900.0,['en'],5,"{'Ticonderoga, Battle of, N.Y., 1758 -- Fiction', 'Vermont -- History -- To 1791 -- Fiction'}",
27827,PG35090,Billy Bunny and Daddy Fox,"Cory, David",1872.0,1966.0,['en'],36,"{'Foxes -- Juvenile fiction', 'Animals -- Juvenile fiction', 'Rabbits -- Juvenile fiction'}",
27828,PG35091,The Invisible Censor,"Hackett, Francis",1883.0,1962.0,['en'],57,{'American essays'},
